Date,Product,Category,Amount,Quantity,Region
2024-01-15,Laptop,Electronics,999.99,1,North
2024-01-16,Coffee Maker,Appliances,149.99,2,South
2024-01-17,Book Set,Books,79.99,3,East
2024-01-18,Smartphone,Electronics,699.99,1,West
2024-01-19,Desk Chair,Furniture,299.99,1,North
2024-01-20,Headphones,Electronics,199.99,2,South
2024-01-21,Kitchen Blender,Appliances,89.99,1,East
2024-01-22,Notebook,Office Supplies,12.99,5,West
2024-01-23,Monitor,Electronics,399.99,1,North
2024-01-24,Coffee Beans,Food,24.99,3,South
2024-01-25,Standing Desk,Furniture,549.99,1,East
2024-01-26,Wireless Mouse,Electronics,49.99,2,West
2024-01-27,Water Bottle,Lifestyle,19.99,4,North
2024-01-28,Yoga Mat,Lifestyle,39.99,2,South
2024-01-29,External Drive,Electronics,129.99,1,East
2024-01-30,Plant Pot,Home & Garden,15.99,3,West
2024-02-01,Tablet,Electronics,449.99,1,North
2024-02-02,Microwave,Appliances,199.99,1,South
2024-02-03,Bookshelf,Furniture,189.99,1,East
2024-02-04,Pen Set,Office Supplies,25.99,2,West 